Model,MAE,RMSE,MAPE,R2
Stacking,26.775165557861328,33.35073988063739,1.1050181,0.99920654296875
WeightedAverage,28.326513290405273,34.897081173273826,1.1709203,0.9991312623023987
Voting,34.47132873535156,41.62705571594183,1.4714766,0.998763918876648
